row,scale,fit_x_slope,fit_x_offset,fit_y_slope,fit_y_offset,expected_if_sx_plus_sm1,kernel,input,sci,excursion,star,psr_tag,psr,wht_min,wht_max,wht_neg_frac,estimate,tag,coverage,sci_stats,n,wht_pos_min,iscale,output_level,area_normalised_total,input_total,output_area_normalised,ratio,exps,measured_rate,expected_rate,region,native_pos_frac,sup_pos_frac,both_frac,native_not_sup_frac,sup_not_native_frac,n_eff,sci_max_both,sci_max_native_only,sci_equal,wht_equal,max_diff,total_exptime
kxscale,4,,,,,,square,A,"{""min"": 0.0, ""max"": 100.0306625366211, ""mean"": 98.96079534437094, ""median"": 99.99957275390625, ""p1"": 0.0, ""p5"": 99.98466491699219, ""p95"": 100.01429748535156, ""p99"": 100.02059173583984, ""neg_frac"": 0.0, ""pos_frac"": 0.9896104600694444, ""nonfinite"": 0.0}","{""valid_support_pixels"": 36481, ""sci_min"": 99.96100616455078, ""sci_max"": 100.0306625366211, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,4,,,,,,square,B,"{""min"": 0.0, ""max"": 1099.9915771484375, ""mean"": 105.09686525372996, ""median"": 100.00054168701172, ""p1"": 0.0, ""p5"": 99.98477935791016, ""p95"": 100.30232238769531, ""p99"": 287.44028808606777, ""neg_frac"": 0.0, ""pos_frac"": 0.9896104600694444, ""nonfinite"": 0.0}","{""valid_support_pixels"": 36481, ""sci_min"": 99.96451568603516, ""sci_max"": 1099.9915771484375, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 59771.590423583984, ""background"": 318.7862854003906, ""peak"": 781.2052917480469, ""centroid_x"": 98.26890674808692, ""centroid_y"": 98.26894304348374, ""fwhm"": 1.0, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,1,,,,,,lanczos2,A,"{""min"": 99.96113586425781, ""max"": 100.03058624267578, ""mean"": 99.99974972009659, ""median"": 99.9996109008789, ""p1"": 99.97642700195313, ""p5"": 99.98398704528809, ""p95"": 100.0163745880127, ""p99"": 100.02228408813477, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 2304, ""sci_min"": 99.96113586425781, ""sci_max"": 100.03058624267578, ""below_input_min"": 0.00012969970703125, ""above_input_max"": -7.62939453125e-05, ""overshoot_factor_max"": 0.9999992372944118, ""undershoot_factor_min"": 1.0000012975030166, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,1,,,,,,lanczos2,B,"{""min"": 99.96458435058594, ""max"": 1099.48388671875, ""mean"": 106.13584067424138, ""median"": 100.00081634521484, ""p1"": 99.97589515686035, ""p5"": 99.9840045928955, ""p95"": 100.27878799438477, ""p99"": 269.0731674194336, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 2304, ""sci_min"": 99.96458435058594, ""sci_max"": 1099.48388671875, ""below_input_min"": 6.866455078125e-05, ""above_input_max"": -0.5076904296875, ""overshoot_factor_max"": 0.9995384597116611, ""undershoot_factor_min"": 1.0000006868892457, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 14132.54566192627, ""background"": 99.99787139892578, ""peak"": 999.4860153198242, ""centroid_x"": 24.00000331411298, ""centroid_y"": 24.000021300693252, ""fwhm"": 1.0, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,2,,,,,,lanczos2,A,"{""min"": 99.96100616455078, ""max"": 100.0306625366211, ""mean"": 99.99975137743685, ""median"": 99.99970245361328, ""p1"": 99.9812515258789, ""p5"": 99.9873104095459, ""p95"": 100.01213455200195, ""p99"": 100.01816215515137, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 9216, ""sci_min"": 99.96100616455078, ""sci_max"": 100.0306625366211, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,2,,,,,,lanczos2,B,"{""min"": 99.96451568603516, ""max"": 1099.9915771484375, ""mean"": 106.13581850296922, ""median"": 100.00057220458984, ""p1"": 99.98137893676758, ""p5"": 99.98755264282227, ""p95"": 100.3159294128418, ""p99"": 318.77968444824216, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 9216, ""sci_min"": 99.96451568603516, ""sci_max"": 1099.9915771484375, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 47838.03917694092, ""background"": 102.34368133544922, ""peak"": 997.6478958129883, ""centroid_x"": 48.999983542542836, ""centroid_y"": 49.000008107520856, ""fwhm"": 1.0, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,3,,,,,,lanczos2,A,"{""min"": 0.0, ""max"": 100.0306625366211, ""mean"": 98.61568044953876, ""median"": 99.99939727783203, ""p1"": 0.0, ""p5"": 99.98216247558594, ""p95"": 100.01638793945312, ""p99"": 100.02232360839844, ""neg_frac"": 0.0, ""pos_frac"": 0.9861593364197531, ""nonfinite"": 0.0}","{""valid_support_pixels"": 20449, ""sci_min"": 99.96100616455078, ""sci_max"": 100.0306625366211, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,3,,,,,,lanczos2,B,"{""min"": 0.0, ""max"": 1099.9915771484375, ""mean"": 104.75175899487955, ""median"": 100.00057220458984, ""p1"": 0.0, ""p5"": 99.9824047088623, ""p95"": 100.27721405029297, ""p99"": 269.0137023925781, ""neg_frac"": 0.0, ""pos_frac"": 0.9861593364197531, ""nonfinite"": 0.0}","{""valid_support_pixels"": 20449, ""sci_min"": 99.96451568603516, ""sci_max"": 1099.9915771484375, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 65370.398849487305, ""background"": 155.6426544189453, ""peak"": 944.3489227294922, ""centroid_x"": 73.44049964118851, ""centroid_y"": 73.44053275468288, ""fwhm"": 1.0, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,4,,,,,,lanczos2,A,"{""min"": 0.0, ""max"": 100.0306625366211, ""mean"": 55.47132025286555, ""median"": 99.98717498779297, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 100.01338195800781, ""p99"": 100.02049255371094, ""neg_frac"": 0.0, ""pos_frac"": 0.5547146267361112, ""nonfinite"": 0.0}","{""valid_support_pixels"": 20449, ""sci_min"": 99.96100616455078, ""sci_max"": 100.0306625366211, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,4,,,,,,lanczos2,B,"{""min"": 0.0, ""max"": 1099.9915771484375, ""mean"": 58.92286443461975, ""median"": 99.98729705810547, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 100.0198745727539, ""p99"": 155.63480590820313, ""neg_frac"": 0.0, ""pos_frac"": 0.5547146267361112, ""nonfinite"": 0.0}","{""valid_support_pixels"": 20449, ""sci_min"": 99.96451568603516, ""sci_max"": 1099.9915771484375, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 31024.27328491211, ""background"": 208.36550903320312, ""peak"": 891.6260681152344, ""centroid_x"": 98.47157609558505, ""centroid_y"": 98.47161712043362, ""fwhm"": 3.0, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
