row,kernel,tag,psr_tag,psr,stats,scale,input,raw_sum,area_norm,level,input_sum,measured,expect_wt,expect_wt2,exposure,key,n_native,n_sup,n_stable,robust_wht,dom,n_eff_max,sci_eq,wht_eq,sup1_eq,sup2_eq,total_exptime,max_diff,n,sci_max,wht_max,png,stretch_params,display_mean,display_std,display_p99,flagged,frac,bg
causal,gaussian,translated,cur1,1.0,"{""n"": 14848, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 0.003447697963565588, ""wht_at_max"": 0.003447697963565588, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,gaussian,translated,inv13,0.3333333333333333,"{""n"": 15589, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.0007332921377383173, ""wht_at_max"": 0.029562631621956825, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.015673225308641976}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,gaussian,translated,none,,"{""n"": 14848, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 0.003447697963565588, ""wht_at_max"": 0.003447697963565588, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,gaussian,translated,diag3,3.0,"{""n"": 1677, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 7.942746162414551, ""wht_at_max"": 7.942746162414551, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,gaussian,rotated,cur1,1.0,"{""n"": 17017, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.11345233023166656, ""wht_at_max"": 0.002998819574713707, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.026089891975308643}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,gaussian,rotated,inv13,0.3333333333333333,"{""n"": 18575, ""min"": 0.0, ""max"": 200.00006103515625, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00003051757812, ""neg_frac"": 0.0, ""wht_at_min"": 0.0006079283775761724, ""wht_at_max"": 0.10132943093776703, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.12630208333333334}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,gaussian,rotated,none,,"{""n"": 17017, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.11345233023166656, ""wht_at_max"": 0.002998819574713707, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.026089891975308643}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,gaussian,rotated,diag3,3.0,"{""n"": 5405, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 7.616192476689321e-08, ""wht_at_max"": 3.7111291817382153e-07, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,gaussian,rot_trans,cur1,1.0,"{""n"": 16178, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.0002687968371901661, ""wht_at_max"": 0.002998819574713707, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.028356481481481483}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,gaussian,rot_trans,inv13,0.3333333333333333,"{""n"": 17728, ""min"": 0.0, ""max"": 200.00006103515625, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00003051757812, ""neg_frac"": 0.0, ""wht_at_min"": 0.0005611262749880552, ""wht_at_max"": 0.10132943093776703, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.1371527777777778}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
