row,kernel,scale,psr_tag,input,coverage,support_radius_out,support_radius_input,centroid_x,centroid_y,footprint,dom,floors,robust_floor,extreme_max,extreme_p99,extreme_n,measured,expect_sigma_rt_over_t,expect,sci_eq,wht_eq,sup1_eq,sup2_eq,sup1_img_eq,max_diff,total_exptime,sci_max,note,png,sha256,flagged,frac,bg
footprint,square,1,cur1,impulse,1.0,66.45361294424563,66.45361294424563,0.010199652777777778,0.010199652777777778,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,1,cur1,star,1.0,66.45361294424563,66.45361294424563,0.010199652777777778,0.010199652777777778,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,1,one_over_s,impulse,1.0,66.45361294424563,66.45361294424563,0.010199652777777778,0.010199652777777778,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,1,one_over_s,star,1.0,66.45361294424563,66.45361294424563,0.010199652777777778,0.010199652777777778,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,1,none,impulse,1.0,66.45361294424563,66.45361294424563,0.010199652777777778,0.010199652777777778,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,1,none,star,1.0,66.45361294424563,66.45361294424563,0.010199652777777778,0.010199652777777778,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,1,wrong_s,impulse,1.0,66.45361294424563,66.45361294424563,0.010199652777777778,0.010199652777777778,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,1,wrong_s,star,1.0,66.45361294424563,66.45361294424563,0.010199652777777778,0.010199652777777778,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,2,cur1,impulse,1.0,134.34296129365816,67.17148064682908,0.005181064572425829,0.005181064572425829,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,2,cur1,star,1.0,134.34296129365816,67.17148064682908,0.005181064572425829,0.005181064572425829,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,2,one_over_s,impulse,1.0,134.34296129365816,67.17148064682908,0.005181064572425829,0.005181064572425829,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,2,one_over_s,star,1.0,134.34296129365816,67.17148064682908,0.005181064572425829,0.005181064572425829,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,2,none,impulse,1.0,134.34296129365816,67.17148064682908,0.005181064572425829,0.005181064572425829,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,2,none,star,1.0,134.34296129365816,67.17148064682908,0.005181064572425829,0.005181064572425829,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,2,wrong_s,impulse,1.0,134.34296129365816,67.17148064682908,0.005181064572425829,0.005181064572425829,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,2,wrong_s,star,1.0,134.34296129365816,67.17148064682908,0.005181064572425829,0.005181064572425829,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,3,cur1,impulse,0.9861593364197531,202.2275600375508,67.4091866791836,0.0035209546381754545,0.0035209546381754545,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,3,cur1,star,0.9861593364197531,202.2275600375508,67.4091866791836,0.0035209546381754545,0.0035209546381754545,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,3,one_over_s,impulse,0.9861593364197531,202.2275600375508,67.4091866791836,0.0035209546381754545,0.0035209546381754545,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,3,one_over_s,star,0.9861593364197531,202.2275600375508,67.4091866791836,0.0035209546381754545,0.0035209546381754545,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,3,none,impulse,0.9861593364197531,202.2275600375508,67.4091866791836,0.0035209546381754545,0.0035209546381754545,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,3,none,star,0.9861593364197531,202.2275600375508,67.4091866791836,0.0035209546381754545,0.0035209546381754545,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,3,wrong_s,impulse,0.9861593364197531,202.2275600375508,67.4091866791836,0.0035209546381754545,0.0035209546381754545,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,3,wrong_s,star,0.9861593364197531,202.2275600375508,67.4091866791836,0.0035209546381754545,0.0035209546381754545,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,4,cur1,impulse,0.9896104600694444,270.1110592346362,67.52776480865904,0.0026383417075195583,0.0026383417075195583,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,4,cur1,star,0.9896104600694444,270.1110592346362,67.52776480865904,0.0026383417075195583,0.0026383417075195583,,,,,,,,,,,,,,,,,,,,,,,,
footprint,square,4,one_over_s,impulse,0.9896104600694444,270.1110592346362,67.52776480865904,0.0026383417075195583,0.0026383417075195583,,,,,,,,,,,,,,,,,,,,,,,,
