key,kernel,scale,input,weighting,n_frames,pixel_scale_ratio,iscale,exptime,pixfrac,positive_support_fraction,sci_on_support_mean,sci_on_support_neg_fraction,sci_on_support_extreme_p99_abs,sci_min,sci_max,sci_mean,sci_median,sci_p1,sci_p5,sci_p95,sci_p99,sci_negative_fraction,sci_positive_fraction,sci_zero_fraction,sci_nonfinite_fraction,wht_min,wht_max,wht_mean,wht_median,wht_p1,wht_p5,wht_p95,wht_p99,wht_negative_fraction,wht_positive_fraction,wht_zero_fraction,wht_nonfinite_fraction
square_s1_A,square,1,A,off,1,,1.0,1.0,1.0,1.0,99.99725341796875,0.0,100.05548858642578,99.9104232788086,100.07611846923828,99.99725300073624,99.9976806640625,99.93641189575196,99.95519371032715,100.03623275756836,100.05548759460449,0.0,1.0,0.0,0.0,0.25,1.0,0.968994140625,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.0
square_s1_B,square,1,B,off,1,,1.0,1.0,1.0,1.0,3.9268693923950195,0.4822048611111111,123.48429870605469,-0.02300087921321392,728.167724609375,3.926868927948612,0.000270580843789503,-0.012773137874901294,-0.008598822448402644,0.016150711290538307,123.48429939268918,0.4822048611111111,0.5177951388888888,0.0,0.0,0.25,1.0,0.9792751736111112,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0
square_s2_A,square,2,A,off,1,,1.0,1.0,1.0,1.0,99.99739074707031,0.0,100.0877685546875,99.8050308227539,100.15330505371094,99.9973954539746,99.99795150756836,99.90583992004395,99.93679618835449,100.05715942382812,100.08776741027832,0.0,1.0,0.0,0.0,0.0625,0.25,0.2461090087890625,0.25,0.125,0.25,0.25,0.25,0.0,1.0,0.0,0.0
square_s2_B,square,2,B,off,1,,1.0,1.0,1.0,1.0,3.9268858432769775,0.4845920138888889,103.62528991699219,-0.03548805043101311,999.9915161132812,3.926886087980896,0.0003205422544851899,-0.018672214541584253,-0.012484026374295354,0.021193305030465126,103.62528991699219,0.4845920138888889,0.5154079861111112,0.0,0.0,0.0625,0.25,0.2474026150173611,0.25,0.125,0.25,0.25,0.25,0.0,1.0,0.0,0.0
square_s3_A,square,3,A,off,1,,1.0,1.0,1.0,1.0,99.99744415283203,0.0,100.0963363647461,99.8050308227539,100.15330505371094,99.99744370496936,99.99761199951172,99.89824676513672,99.93143463134766,100.06489562988281,100.0963363647461,0.0,1.0,0.0,0.0,0.02777777798473835,0.1111111119389534,0.10995671860473522,0.1111111119389534,0.0555555559694767,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.0,1.0,0.0,0.0
square_s3_B,square,3,B,off,1,,1.0,1.0,1.0,1.0,3.926891565322876,0.4848090277777778,103.62248229980469,-0.03548805043101311,999.9915161132812,3.926891777335115,0.0003392818325664848,-0.020190458744764328,-0.013786052353680134,0.02178712747991085,103.62248458862305,0.4848090277777778,0.5151909722222222,0.0,0.0,0.02777777798473835,0.1111111119389534,0.11034084658684959,0.1111111119389534,0.0555555559694767,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.0,1.0,0.0,0.0
square_s4_A,square,4,A,off,1,,1.0,1.0,1.0,1.0,99.99746704101562,0.0,100.0999755859375,99.8050308227539,100.15330505371094,99.99746769899502,99.99751281738281,99.88902282714844,99.92875022888184,100.06787872314453,100.0999755859375,0.0,1.0,0.0,0.0,0.015625,0.0625,0.062012672424316406,0.0625,0.03125,0.0625,0.0625,0.0625,0.0,1.0,0.0,0.0
square_s4_B,square,4,B,off,1,,1.0,1.0,1.0,1.0,3.926894187927246,0.4848090277777778,82.50349426269531,-0.03548805043101311,999.9915161132812,3.9268945392760934,0.0003470302326604724,-0.02137824334204197,-0.014325443655252457,0.02261713333427906,82.50348991402822,0.4848090277777778,0.5151909722222222,0.0,0.0,0.015625,0.0625,0.0621749030219184,0.0625,0.03125,0.0625,0.0625,0.0625,0.0,1.0,0.0,0.0
lanczos2_s1_A,lanczos2,1,A,off,1,,1.0,1.0,1.0,1.0,99.99710845947266,0.0,100.07184600830078,99.8875961303711,100.10790252685547,99.99710913747549,99.99813842773438,99.92226142883301,99.94162635803222,100.04806632995606,100.07184249877929,0.0,1.0,0.0,0.0,0.25814753770828247,1.1660734415054321,1.0085525776376016,1.0325902700424194,0.5162950158119202,0.5162950158119202,1.0973039865493774,1.0973039865493774,0.0,1.0,0.0,0.0
lanczos2_s1_B,lanczos2,1,B,off,1,,1.0,1.0,1.0,1.0,3.9268672466278076,0.5034722222222222,106.94389343261719,-0.4402286112308502,810.669677734375,3.926867742108382,-7.017380266916007e-05,-0.11935601718723768,-0.012497040349990128,0.013014811137691136,106.94389087675971,0.5034722222222222,0.4965277777777778,0.0,0.0,0.25814753770828247,1.1660734415054321,1.01653368701227,1.0325902700424194,0.5162950158119202,1.0325902700424194,1.0973039865493774,1.0973039865493774,0.0,1.0,0.0,0.0
